system:index,A00_2025,A01_2025,A02_2025,A03_2025,A04_2025,A05_2025,A06_2025,A07_2025,A08_2025,A09_2025,A10_2025,A11_2025,A12_2025,A13_2025,A14_2025,A15_2025,A16_2025,A17_2025,A18_2025,A19_2025,A20_2025,A21_2025,A22_2025,A23_2025,A24_2025,A25_2025,A26_2025,A27_2025,A28_2025,A29_2025,A30_2025,A31_2025,A32_2025,A33_2025,A34_2025,A35_2025,A36_2025,A37_2025,A38_2025,A39_2025,A40_2025,A41_2025,A42_2025,A43_2025,A44_2025,A45_2025,A46_2025,A47_2025,A48_2025,A49_2025,A50_2025,A51_2025,A52_2025,A53_2025,A54_2025,A55_2025,A56_2025,A57_2025,A58_2025,A59_2025,A60_2025,A61_2025,A62_2025,A63_2025,Plot,.geo
0_0,-0.022206843521722412,-0.08421376393694734,0.17937716262975778,-0.13588619761630144,-0.08421376393694734,0.01384083044982699,0.07972318339100345,0.13016532103037293,-0.0015378700499807767,0.1085121107266436,-0.08421376393694734,0.08882737408688965,-0.2069357939254133,0.044844290657439445,-0.05536332179930796,-0.0015378700499807767,-0.07535563244905807,0.2761399461745483,-0.05173394848135333,-0.017777777777777778,-0.4340484429065744,0.2288965782391388,0.022206843521722412,-0.04822760476739715,0.003014225297962322,-0.041584006151480196,0.09356401384083046,-0.09842368319876971,-0.3014225297962323,0.21413302575932336,0.03844675124951941,0.041584006151480196,0.04822760476739715,0.13588619761630144,-0.03844675124951941,-0.007443291041906958,0.044844290657439445,-0.1085121107266436,0.029773164167627833,-9.84236831987697E-4,0.11374086889657825,-0.13016532103037293,-0.03254133025759323,0.33685505574778934,-0.11909265667051133,0.0629911572472126,-0.11909265667051133,-0.09842368319876971,-0.11909265667051133,0.04822760476739715,0.05536332179930796,-0.0629911572472126,-0.03254133025759323,-0.08882737408688965,0.10340638216070744,0.09842368319876971,0.08882737408688965,0.03254133025759323,-0.0629911572472126,-0.2069357939254133,-0.07972318339100345,0.03844675124951941,-0.06698961937716265,-0.08421376393694734,T01,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.95544392156891,12.089895092765676]}"
1_0,0.041584006151480196,-0.07972318339100345,0.11909265667051133,-0.010396001537870049,0.004982698961937716,-0.07111111111111111,-0.007443291041906958,0.06698961937716265,0.03844675124951941,0.1085121107266436,-0.07535563244905807,0.11909265667051133,-0.2364628988850442,0.008858131487889272,-0.029773164167627833,-0.11374086889657825,-0.017777777777777778,0.041584006151480196,-0.13588619761630144,-0.13588619761630144,-0.24415224913494812,0.024605920799692427,0.2364628988850442,-0.044844290657439445,-0.07535563244905807,0.07972318339100345,0.08421376393694734,-0.19986159169550174,-0.22145328719723184,0.17937716262975778,0.12456747404844293,0.044844290657439445,0.2069357939254133,-0.05536332179930796,-0.03254133025759323,-0.0015378700499807767,-0.09842368319876971,-0.19986159169550174,-0.03543252595155709,-0.2069357939254133,0.2288965782391388,-0.2761399461745483,-0.10340638216070744,0.36472126105344094,-0.024605920799692427,-0.12456747404844293,-0.13588619761630144,0.08882737408688965,-0.03254133025759323,-0.03254133025759323,0.10340638216070744,-0.186082276047674,-0.07111111111111111,0.044844290657439445,0.0629911572472126,-0.019930795847750864,0.041584006151480196,0.041584006151480196,-0.003014225297962322,-0.07111111111111111,-0.09356401384083046,-0.07111111111111111,0.11909265667051133,0.006151480199923107,T02,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.95442460913839,12.15172546335389]}"
2_0,0.03844675124951941,-0.08882737408688965,0.0015378700499807767,0.1085121107266436,-9.84236831987697E-4,-0.09356401384083046,-0.03254133025759323,0.11374086889657825,-0.007443291041906958,0.08421376393694734,0.0271280276816609,0.03254133025759323,-0.33685505574778934,0.10340638216070744,-0.08421376393694734,-0.05536332179930796,0.012056901191849288,0.07111111111111111,-0.16633602460592078,-0.041584006151480196,-0.09842368319876971,0.05173394848135333,0.24415224913494812,0.019930795847750864,-0.03254133025759323,0.05536332179930796,0.10340638216070744,-0.17279507881584008,-0.1929104190695886,0.08421376393694734,0.07535563244905807,-0.03844675124951941,-0.01574778931180315,-0.019930795847750864,0.03543252595155709,-0.08421376393694734,-0.13588619761630144,-0.0629911572472126,-0.022206843521722412,-0.3278123798539023,0.13588619761630144,-0.2679584775086506,-0.07972318339100345,0.33685505574778934,0.007443291041906958,-0.022206843521722412,-0.04822760476739715,0.2519646289888504,-0.07535563244905807,0.03543252595155709,0.007443291041906958,-0.2069357939254133,0.04822760476739715,0.07972318339100345,0.1929104190695886,0.06698961937716265,-0.0271280276816609,0.07535563244905807,0.06698961937716265,-0.06698961937716265,0.022206843521722412,-0.11374086889657825,0.2519646289888504,-0.017777777777777778,T03,"{""geodesic"":false,""type"":""Point"",""coordinates"":[107.01780660121482,12.151270246218933]}"
3_0,0.07535563244905807,-0.16633602460592078,0.16000000000000003,-0.08421376393694734,-0.010396001537870049,0.01384083044982699,0.08882737408688965,0.0629911572472126,-0.13016532103037293,0.19986159169550174,-0.003936947327950788,0.11909265667051133,-0.21413302575932336,0.07535563244905807,-0.03844675124951941,-0.029773164167627833,-0.017777777777777778,0.11374086889657825,-0.13588619761630144,0.10340638216070744,-0.2761399461745483,0.22145328719723184,0.14769703960015382,-0.044844290657439445,-0.08421376393694734,0.006151480199923107,0.13016532103037293,-0.11374086889657825,-0.24415224913494812,0.2519646289888504,0.09356401384083046,-0.04822760476739715,9.84236831987697E-4,0.07972318339100345,9.84236831987697E-4,-0.019930795847750864,-0.019930795847750864,-0.08421376393694734,0.10340638216070744,-0.15378700499807765,0.14173010380622836,-0.13016532103037293,-0.06698961937716265,0.4444444444444444,-0.09842368319876971,-0.0015378700499807767,-0.10340638216070744,-0.05911572472126105,-0.10340638216070744,-0.017777777777777778,-0.04822760476739715,-0.17937716262975778,-0.022206843521722412,-0.05536332179930796,0.10340638216070744,0.05173394848135333,0.003936947327950788,-0.006151480199923107,-0.0629911572472126,-0.17279507881584008,-0.11909265667051133,-0.03543252595155709,0.08421376393694734,-0.044844290657439445,T04,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.8957869440587,12.212602770333932]}"
4_0,0.03254133025759323,-0.186082276047674,0.041584006151480196,-0.01574778931180315,-0.0271280276816609,-0.13588619761630144,-0.04822760476739715,0.16000000000000003,-0.024605920799692427,0.09842368319876971,-0.019930795847750864,-0.002214532871972318,-0.31009611687812383,0.08421376393694734,-0.0271280276816609,-0.019930795847750864,0.1085121107266436,0.05536332179930796,-0.1929104190695886,-0.03844675124951941,-0.15378700499807765,0.03844675124951941,0.186082276047674,-0.07535563244905807,-0.022206843521722412,0.05173394848135333,0.14769703960015382,-0.13588619761630144,-0.24415224913494812,0.21413302575932336,0.05536332179930796,-0.0629911572472126,0.022206843521722412,-0.006151480199923107,-0.0271280276816609,-0.1085121107266436,-0.06698961937716265,-0.04822760476739715,0.08421376393694734,-0.19986159169550174,0.17937716262975778,-0.24415224913494812,-0.07972318339100345,0.41362552864282975,-0.05536332179930796,-0.08882737408688965,-0.05536332179930796,0.22145328719723184,-0.0629911572472126,-0.022206843521722412,0.017777777777777778,-0.19986159169550174,0.01384083044982699,0.06698961937716265,0.17279507881584008,0.03844675124951941,-0.004982698961937716,0.022206843521722412,0.022206843521722412,-0.06698961937716265,0.07535563244905807,-0.12456747404844293,0.14769703960015382,0.03254133025759323,T05,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.95588522075802,12.21317650599843]}"
5_0,0.16633602460592078,-0.06698961937716265,0.06698961937716265,0.05536332179930796,0.01574778931180315,-0.11374086889657825,-0.017777777777777778,0.012056901191849288,0.029773164167627833,0.13016532103037293,0.044844290657439445,0.08882737408688965,-0.3553094963475586,0.08882737408688965,-0.17937716262975778,-0.07111111111111111,-0.07972318339100345,0.012056901191849288,-0.15378700499807765,-0.05173394848135333,-0.044844290657439445,0.0629911572472126,0.33685505574778934,0.06698961937716265,-0.07111111111111111,-0.029773164167627833,0.07111111111111111,-0.14173010380622836,-0.186082276047674,0.04822760476739715,0.11909265667051133,-0.07972318339100345,-0.09356401384083046,-0.10340638216070744,0.01384083044982699,-0.017777777777777778,-0.1929104190695886,-0.1085121107266436,-0.017777777777777778,-0.31009611687812383,0.12456747404844293,-0.2069357939254133,-0.09842368319876971,0.31009611687812383,-0.03543252595155709,-0.024605920799692427,-0.11374086889657825,0.13016532103037293,-0.11374086889657825,-0.0629911572472126,0.022206843521722412,-0.14173010380622836,0.11909265667051133,0.03254133025759323,0.07972318339100345,0.03844675124951941,-0.0629911572472126,0.09356401384083046,-0.01574778931180315,-0.06698961937716265,-0.003014225297962322,-0.11909265667051133,0.21413302575932336,0.01384083044982699,T06,"{""geodesic"":false,""type"":""Point"",""coordinates"":[107.01808391161596,12.212275565879697]}"
6_0,0.11374086889657825,-0.07111111111111111,0.10340638216070744,0.14769703960015382,0.10340638216070744,-0.008858131487889272,-0.0629911572472126,0.05911572472126105,0.041584006151480196,0.044844290657439445,0.1085121107266436,0.08421376393694734,-0.3278123798539023,0.14173010380622836,-0.186082276047674,-0.07535563244905807,-0.10340638216070744,-0.06698961937716265,-0.21413302575932336,0.05536332179930796,-0.13588619761630144,0.022206843521722412,0.2069357939254133,-0.03844675124951941,-0.05911572472126105,-0.07972318339100345,0.09356401384083046,-0.1929104190695886,-0.2599000384467512,0.05536332179930796,0.14769703960015382,0.03543252595155709,-0.05173394848135333,-0.07972318339100345,-0.06698961937716265,0.07111111111111111,-0.186082276047674,-0.16633602460592078,-0.022206843521722412,-0.17937716262975778,0.044844290657439445,-0.2364628988850442,-0.0629911572472126,0.34602076124567477,-0.0271280276816609,0.07535563244905807,-0.041584006151480196,0.13016532103037293,-0.13016532103037293,-0.03844675124951941,-0.04822760476739715,-0.19986159169550174,0.05173394848135333,-2.4605920799692423E-4,0.07111111111111111,-0.019930795847750864,-0.03543252595155709,0.07111111111111111,-0.08882737408688965,-0.14769703960015382,-0.012056901191849288,-0.003936947327950788,0.12456747404844293,-0.11374086889657825,T07,"{""geodesic"":false,""type"":""Point"",""coordinates"":[107.08065091405258,12.211809711296752]}"
7_0,0.03543252595155709,-0.17279507881584008,0.09356401384083046,0.0271280276816609,-0.044844290657439445,-0.07535563244905807,0.03844675124951941,0.1085121107266436,-0.019930795847750864,0.11374086889657825,0.022206843521722412,0.06698961937716265,-0.3278123798539023,0.08421376393694734,-0.14173010380622836,-0.05173394848135333,-0.04822760476739715,0.05911572472126105,-0.09842368319876971,0.04822760476739715,-0.14173010380622836,0.2069357939254133,0.3014225297962323,-0.012056901191849288,-0.04822760476739715,0.017777777777777778,0.08882737408688965,-0.11374086889657825,-0.28444444444444444,0.12456747404844293,0.11909265667051133,-0.0271280276816609,-0.10340638216070744,-0.03254133025759323,0.006151480199923107,-0.03543252595155709,-0.186082276047674,-0.07535563244905807,0.01384083044982699,-0.3553094963475586,0.14769703960015382,-0.17937716262975778,-0.05911572472126105,0.33685505574778934,-0.029773164167627833,-0.029773164167627833,-0.09842368319876971,0.041584006151480196,-0.07972318339100345,-0.017777777777777778,-0.05173394848135333,-0.14769703960015382,0.029773164167627833,0.0271280276816609,0.09842368319876971,0.11909265667051133,-0.041584006151480196,0.05536332179930796,-9.84236831987697E-4,-0.08882737408688965,0.017777777777777778,-0.14769703960015382,0.15378700499807765,-0.01384083044982699,T08,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.89329175755202,12.275077397182045]}"
8_0,0.01384083044982699,-0.09356401384083046,0.08421376393694734,-0.05173394848135333,-0.09842368319876971,-0.10340638216070744,0.07535563244905807,0.09842368319876971,0.05536332179930796,0.024605920799692427,0.0629911572472126,0.017777777777777778,-0.3014225297962323,0.04822760476739715,-0.13016532103037293,0.01384083044982699,-0.01574778931180315,-0.004982698961937716,-0.13016532103037293,0.09842368319876971,-0.22145328719723184,0.2069357939254133,0.22145328719723184,0.003936947327950788,-0.003936947327950788,0.03254133025759323,0.09356401384083046,-0.10340638216070744,-0.24415224913494812,0.13016532103037293,0.03844675124951941,0.0271280276816609,-0.12456747404844293,0.006151480199923107,0.13588619761630144,-0.05911572472126105,-0.2069357939254133,0.0629911572472126,0.16633602460592078,-0.29287197231833906,0.13016532103037293,-0.186082276047674,-0.1085121107266436,0.37425605536332185,-0.09842368319876971,0.019930795847750864,-0.044844290657439445,0.07111111111111111,-0.09356401384083046,-0.0271280276816609,-0.029773164167627833,-0.06698961937716265,-0.012056901191849288,0.10340638216070744,0.16633602460592078,0.1085121107266436,-0.0271280276816609,-0.010396001537870049,-0.003936947327950788,-0.17279507881584008,0.029773164167627833,-0.13588619761630144,0.16633602460592078,0.029773164167627833,T09,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.9558776422965,12.27454730387516]}"
9_0,0.13016532103037293,-0.08421376393694734,0.024605920799692427,0.08421376393694734,0.041584006151480196,-0.13588619761630144,-0.08882737408688965,0.017777777777777778,0.0015378700499807767,0.13016532103037293,0.010396001537870049,0.1085121107266436,-0.33685505574778934,0.05911572472126105,-0.17279507881584008,-0.13016532103037293,-0.04822760476739715,-0.029773164167627833,-0.1929104190695886,-0.03543252595155709,-0.04822760476739715,-0.03543252595155709,0.37425605536332185,0.07111111111111111,-0.01384083044982699,0.010396001537870049,0.09356401384083046,-0.17937716262975778,-0.22145328719723184,0.05911572472126105,0.15378700499807765,-0.019930795847750864,0.010396001537870049,-0.15378700499807765,-0.017777777777777778,-0.05536332179930796,-0.17279507881584008,-0.16633602460592078,-0.019930795847750864,-0.19986159169550174,0.16000000000000003,-0.2364628988850442,-0.07972318339100345,0.29287197231833906,-0.01574778931180315,-0.06698961937716265,-0.09356401384083046,0.13588619761630144,-0.03543252595155709,-0.06698961937716265,0.10340638216070744,-0.16633602460592078,0.09356401384083046,0.03844675124951941,0.03543252595155709,-0.012056901191849288,-0.003014225297962322,0.044844290657439445,-0.03844675124951941,-0.07972318339100345,-0.0629911572472126,-0.08421376393694734,0.16000000000000003,0.029773164167627833,T10,"{""geodesic"":false,""type"":""Point"",""coordinates"":[107.01864689252605,12.27427271277914]}"
10_0,0.16000000000000003,-0.08882737408688965,0.09842368319876971,0.05536332179930796,0.09356401384083046,-0.13588619761630144,-0.08421376393694734,0.024605920799692427,0.044844290657439445,0.14769703960015382,0.01574778931180315,0.1085121107266436,-0.33685505574778934,0.09842368319876971,-0.1929104190695886,-0.10340638216070744,-0.08421376393694734,0.03254133025759323,-0.21413302575932336,-0.16633602460592078,-0.03844675124951941,-0.01384083044982699,0.3014225297962323,0.05536332179930796,-0.041584006151480196,-0.07535563244905807,0.0271280276816609,-0.10340638216070744,-0.15378700499807765,0.09356401384083046,0.11374086889657825,-0.11374086889657825,-0.07111111111111111,-0.08882737408688965,-0.06698961937716265,-0.07535563244905807,-0.14769703960015382,-0.17279507881584008,0.04822760476739715,-0.16000000000000003,0.17937716262975778,-0.1929104190695886,-0.09356401384083046,0.3014225297962323,-0.05911572472126105,-0.0629911572472126,-0.1085121107266436,0.17937716262975778,-0.07972318339100345,-0.09356401384083046,0.09356401384083046,-0.15378700499807765,0.14173010380622836,-0.05536332179930796,0.01574778931180315,-0.01574778931180315,-0.03844675124951941,0.10340638216070744,-0.09842368319876971,-0.05536332179930796,-0.041584006151480196,-0.1085121107266436,0.16000000000000003,0.01384083044982699,T11,"{""geodesic"":false,""type"":""Point"",""coordinates"":[107.08150273495325,12.273621562591645]}"
11_0,0.16633602460592078,-0.09356401384083046,0.1085121107266436,0.03543252595155709,0.08421376393694734,-0.09842368319876971,-0.041584006151480196,0.0629911572472126,0.03543252595155709,0.14769703960015382,-0.022206843521722412,0.09356401384083046,-0.34602076124567477,0.11909265667051133,-0.2288965782391388,-0.13016532103037293,-0.10340638216070744,0.041584006151480196,-0.14769703960015382,-0.06698961937716265,-0.15378700499807765,0.07535563244905807,0.2599000384467512,-0.07111111111111111,-0.05536332179930796,-0.09842368319876971,0.003936947327950788,-0.09842368319876971,-0.15378700499807765,0.11909265667051133,0.09356401384083046,0.010396001537870049,-0.05911572472126105,-0.07111111111111111,-0.07535563244905807,-0.029773164167627833,-0.17937716262975778,-0.22145328719723184,0.07111111111111111,-0.186082276047674,0.14769703960015382,-0.21413302575932336,-0.1085121107266436,0.3553094963475586,-0.07111111111111111,-0.017777777777777778,-0.1085121107266436,0.07535563244905807,-0.06698961937716265,-0.06698961937716265,0.03543252595155709,-0.14769703960015382,0.07111111111111111,-0.04822760476739715,-0.0015378700499807767,-0.06698961937716265,-0.03543252595155709,0.11909265667051133,-0.14769703960015382,-0.13016532103037293,-0.03844675124951941,-0.13016532103037293,0.07111111111111111,-0.05536332179930796,T12,"{""geodesic"":false,""type"":""Point"",""coordinates"":[107.14344353020773,12.273776536270434]}"
12_0,-0.04822760476739715,-0.07111111111111111,0.16000000000000003,-0.13016532103037293,-0.16000000000000003,0.06698961937716265,-0.010396001537870049,0.04822760476739715,-0.029773164167627833,0.03254133025759323,0.08882737408688965,0.019930795847750864,-0.31009611687812383,0.16000000000000003,-0.012056901191849288,0.13588619761630144,-0.04822760476739715,0.07972318339100345,-0.10340638216070744,-0.01384083044982699,-0.2364628988850442,0.21413302575932336,0.03844675124951941,0.17279507881584008,0.03254133025759323,0.09842368319876971,0.07535563244905807,-0.1929104190695886,-0.2679584775086506,0.24415224913494812,-0.010396001537870049,0.024605920799692427,-0.12456747404844293,0.08882737408688965,0.12456747404844293,0.03254133025759323,-0.08882737408688965,0.14173010380622836,0.17279507881584008,0.01384083044982699,0.044844290657439445,-0.13016532103037293,-0.11374086889657825,0.2288965782391388,-0.2288965782391388,0.007443291041906958,-0.002214532871972318,-0.05911572472126105,-0.0629911572472126,0.11374086889657825,0.13588619761630144,0.0629911572472126,-0.07111111111111111,0.01384083044982699,0.11374086889657825,0.16000000000000003,0.01384083044982699,-0.08421376393694734,-0.05911572472126105,-0.1929104190695886,-0.0629911572472126,0.2069357939254133,0.03844675124951941,0.08882737408688965,T13,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.57940594974428,12.33862970550483]}"
